Year,TRI Facility ID,Facility Name,Street Address,City,County,ST,ZIP,Latitude,Longitude,Primary NAICS,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,Parent Company Name,Parent Company DB Number,Doc_Ctrl_Num,Chemical,CAS #/Compound ID,Congener Number,Congener CAS#,Congener,Clean Air Act Chemical,Classification,Metal,Metal Category,Carcinogen,Form Type,Unit of Measure,5.1 Fugitive Air,5.2 Stack Air,5.3 Water,5.4.1 Underground Class I,5.4.2 Underground Class II-V,5.5.1A RCRA C Landfills,5.5.1B Other Landfills,5.5.2 Land Treatment,5.5.3A RCRA C Surface Impoundment,5.5.3B Other Surface Impoundment,5.5.4 Other Disposal,On-site Release Total,6.1 POTW,6.2 M10,6.2 M41,6.2 M62,6.2 M81,6.2 M82,6.2 M66,6.2 M67,6.2 M64,6.2 M65,6.2 M73,6.2 M79,6.2 M90,6.2 M94,6.2 M99,Off-Site Release Total,6.2 M20,6.2 M24,6.2 M26,6.2 M28,6.2 M93,Off-Site Recycled Total,6.2 M56,6.2 M92,Off-Site Recovery Total,6.2 M40,6.2 M50,6.2 M54,6.2 M61,6.2 M69,6.2 M95,Off-Site Treated Total,Total Off-site Managed,Total Releases,8.1a On-site Contained Releases,8.1b On-site Other Releases,8.1c Off-site Contained Releases,8.1d Off-site Other Releases,8.2 Energy Recovery On-site,8.3 Energy Recovery Off-site,8.4 Recycling On-Site,8.5 Recycling Off-Site,8.6 Treatment On-site,8.7 Treatement Off-site,8.8 One-time Release,20251105,KLJ
2020,07407MRCLP1MARK,MARCAL  MANUFACTURING LLC,1 MARKET ST,ELMWOOD PARK,BERGEN,NJ,7407,40.90233,-74.13179,322291,,,,,,,,1320219193339,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84e-05,0.0,0,0,0.0,0,0.0,0,0.0039395,0.0,0.0,0.0053102,0.0,0.0,0.0,0.0092497,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0001014,0.0001014,0,0.0,0.0,0.0040379,0.0053102,0.0,0.0,0.0,0.0,0.0,3e-06,0,,
2020,08014PGCRPRTE13,LOGAN GENERATING CO LP,76 ROUTE 130,SWEDESBORO,GLOUCESTER,NJ,8085,39.79158,-75.40751,221112,,,,,,EXCALIBUR POWER LLC,,1320218615399,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.0006793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006793,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0006793,0.0,0.0,0.0,0.0,0.0,0.0,0.0121808,0.0,0,,
2020,08069CRNYS500SH,CHAMBERS COGENERATION L.P.,500 SHELL RD,PENNS GROVE,SALEM,NJ,8069,39.687711,-75.487656,221112,221330.0,,,,,EXCALIBUR POWER LLC,,1320218617431,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.0062645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062645,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0062645,0.0,0.0,0.0,0.0,0.0,0.0,0.0098458,0.0,0,,
2020,08103STTMT941SO,STATE METAL INDUSTRIES INC,941 S SECOND ST,CAMDEN,CAMDEN,NJ,8103,39.933611,-75.128333,331314,,,,,,,,1320219151519,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0180379,0.0574571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075495,0.0,0.0,0,0,0.0,0,0.8206462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8206462,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.075495,0.0,0.8206462,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,08872NWJRSNORTH,CMC STEEL NEW JERSEY,1 N CROSSMAN RD,SAYREVILLE,MIDDLESEX,NJ,8872,40.480106,-74.320981,331110,,,,,,COMMERCIAL METALS CO,7925845.0,1320219248313,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,10940RVRSMRD2BA,ECOBAT RESOURCES NEW YORK LLC,65 BALLARD RD,MIDDLETOWN,ORANGE,NY,10941,41.460844,-74.359694,331492,,,,,,ECOBAT LLC,181637047.0,1320219347440,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,6.96e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96e-05,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.96e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,12143BLCRCROUTE,HOLCIM - RAVENA CEMENT PLANT,1916 US ROUTE 9W,RAVENA,ALBANY,NY,12158,42.49756,-73.813652,327310,,,,,,HOLCIM PARTICIPATIONS (US) INC,81260273.0,1320219291046,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.2275692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2275692,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2275692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,1250WSCHWT2424R,SWM HOLDINGS US LLC,2424 ROUTE 82,ANCRAM,COLUMBIA,NY,12502,42.048861,-73.636694,322121,,,,,,,,1320218780993,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-06,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,12550RSTNG992RA,ROSETON GENERATING LLC,992 RIVER RD,NEWBURGH,ORANGE,NY,12550,41.5717,-73.97502,221112,,,,,,RIVERVIEW POWER LLC,56285941.0,1320219268240,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000179,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2020,12801FNCHP1GLEN,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,WARREN,NY,12801,43.308507,-73.634808,322121,322110.0,,,,,FINCH PAPER HOLDINGS,802024955.0,1320218812737,Dioxin and dioxin-like compounds,N150,TEQ,N150,Dioxin - Toxic Equivalency (TEQ),YES,DIOXIN,NO,0,YES,R,Grams,0.0,0.0030645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030645,0.0,0.0,0,0,0.0,0,0.0,0,0.0035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0035646,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0030645,0.0035646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
